dir_domain,item_type,subdomain,value,unit,citation,createdAt,updatedAt
baseline_housing,land-rent_intensity,construction-maintenance,0.542386441,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_housing,housing-maintenance_intensity,construction-maintenance,1.378245204,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_housing,electricity_intensity,electricity,0.634319811,kgCO2e/kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_housing,urban-gas_intensity,other-energy,0.310544763,kgCO2e/kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_housing,lpg_intensity,other-energy,0.327564907,kgCO2e/kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_housing,kerosene_intensity,other-energy,0.280081108,kgCO2e/kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_housing,other-energy_intensity,other-energy,0.037319212,kgCO2e/kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_housing,water_intensity,water,0.584462203,kgCO2e/m3,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,airplane_intensity,airplane,0.124064635,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,train_intensity,train,0.031326557,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,bus_intensity,bus,0.082993045,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,ferry_intensity,ferry,0.424691332,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,taxi_intensity,car-sharing-taxi,0.429510033,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,private-car-driving_intensity,private-car,0.168396977,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,car-sharing-driving_intensity,car-sharing-taxi,0.168721197,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,motorbike-driving_intensity,motorbike,0.057043135,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,bicycle-driving_intensity,bicycle,0.013134541,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,walking_intensity,walking,0,kgCO2e/km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,private-car-purchase_intensity,private-car,5112.506479,kgCO2e/vehicle,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,motorbike-purchase_intensity,motorbike,979.6575783,kgCO2e/vehicle,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,car-sharing-rental_intensity,car-sharing-taxi,8.698477742,kgCO2e/use,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,private-car-maintenance_intensity,private-car,1.648088312,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,motorbike-maintenance_intensity,motorbike,1.965801837,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_mobility,bicycle-maintenance_intensity,bicycle,2.324385029,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,rice_intensity,cereals,2.852329875,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,bread-flour_intensity,cereals,2.655219688,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,noodle_intensity,cereals,2.03794552,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,potatoes_intensity,vegetables,1.567735484,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,vegetables_intensity,vegetables,1.281591651,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,processed-vegetables_intensity,vegetables,3.390013568,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,beans_intensity,beans-nuts,1.058728707,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,milk_intensity,dairy,0.876594709,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,other-dairy_intensity,dairy,2.204505819,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,eggs_intensity,eggs,1.450456835,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,beef_intensity,meat,18.34219895,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,pork_intensity,meat,8.051661719,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,chicken_intensity,meat,5.250241141,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,other-meat_intensity,meat,7.689625825,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,processed-meat_intensity,meat,5.336739155,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,fish_intensity,fish,5.528206567,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,processed-fish_intensity,fish,4.080158747,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,fruits_intensity,fruits,1.305111781,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,oil_intensity,other-food,2.404909632,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,seasoning_intensity,other-food,1.897020567,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,sweets-snack_intensity,other-food,4.939585725,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,ready-meal_intensity,other-food,3.940265729,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,alcohol_intensity,beverages,0.944414337,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,coffee-tea_intensity,beverages,0.465905509,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,cold-drink_intensity,beverages,0.482549688,kgCO2e/kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,cooking-appliances_intensity,appliance-furniture,2.852827088,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,heating-cooling-appliances_intensity,appliance-furniture,7.449174796,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,other-appliances_intensity,appliance-furniture,2.750735655,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,electronics_intensity,appliance-furniture,2.274573158,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,clothes-goods_intensity,clothes,2.670916765,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,bags-jewelries-goods_intensity,clothes,2.558629508,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,culture-goods_intensity,hobby-books-magazines,2.39985402,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,entertainment-goods_intensity,hobby-books-magazines,1.570433632,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,sports-goods_intensity,hobby-books-magazines,2.497630942,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,gardening-flower_intensity,hobby-books-magazines,4.85232258,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,pet_intensity,hobby-books-magazines,2.103916343,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,tobacco_intensity,hobby-books-magazines,0.996872147,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,furniture_intensity,appliance-furniture,2.207048567,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,covering_intensity,appliance-furniture,2.512668069,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,cosmetics_intensity,daily-goods-cosmetics-medicine,2.276312315,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,sanitation_intensity,daily-goods-cosmetics-medicine,3.129136419,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,medicine_intensity,daily-goods-cosmetics-medicine,2.132542476,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,kitchen-goods_intensity,daily-goods-cosmetics-medicine,3.23125458,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,paper-stationery_intensity,daily-goods-cosmetics-medicine,3.056810847,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,books-magazines_intensity,hobby-books-magazines,2.52738082,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,waste_intensity,waste-repair-rental,8.586030351,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,restaurant_intensity,restaurant,2.972239521,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_food,bar-cafe_intensity,restaurant,2.991595476,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,hotel_intensity,hotel-travel,3.770333888,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,travel_intensity,hotel-travel,0.653433284,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,culture-leisure_intensity,leisure-sports,2.189658709,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,entertainment-leisure_intensity,leisure-sports,1.973982363,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,sports-leisure_intensity,leisure-sports,1.703889647,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,furniture-daily-goods-repair-rental_intensity,waste-repair-rental,1.799958663,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,clothes-repair-rental_intensity,waste-repair-rental,1.021369922,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,bags-jewelries-repair-rental_intensity,waste-repair-rental,1.106075818,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,electrical-appliances-repair-rental_intensity,waste-repair-rental,1.953281338,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,sports-culture-repair-rental_intensity,waste-repair-rental,1.953281338,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,sports-entertainment-repair-rental_intensity,waste-repair-rental,0.82229875,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,housework_intensity,other-services,1.215004276,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,washing_intensity,other-services,2.437149813,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,haircare_intensity,other-services,1.712161189,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,bath-spa_intensity,other-services,5.754233873,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,postal-delivery_intensity,communication-delivery-broadcasting,3.81741193,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,communication_intensity,communication-delivery-broadcasting,1.02634832,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,broadcasting_intensity,communication-delivery-broadcasting,1.141584281,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,ceremony_intensity,ceremony,2.31786394,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,medical-care_intensity,medical-welfare-education,1.169394129,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,nursing_intensity,medical-welfare-education,1.209159482,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,caring_intensity,medical-welfare-education,1.283734545,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,formal-education_intensity,medical-welfare-education,1.074215614,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,informal-education_intensity,medical-welfare-education,1.21314144,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,finance-insurance_intensity,other-services,0.707292151,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
baseline_other,other-services_intensity,other-services,0.949580643,kgCO2e/000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z